图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,乌鸦-预测置信度,乌龟-预测置信度,仓鼠-预测置信度,企鹅-预测置信度,兔子-预测置信度,刺猬-预测置信度,啄木鸟-预测置信度,土狼-预测置信度,大猩猩-预测置信度,大象-预测置信度,奶牛-预测置信度,山羊-预测置信度,斑马-预测置信度,松鼠-预测置信度,毛毛虫-预测置信度,水母-预测置信度,水獭-预测置信度,河马-预测置信度,浣熊-预测置信度,海星-预测置信度,海豚-预测置信度,海豹-预测置信度,海马-预测置信度,火烈鸟-预测置信度,火鸡-预测置信度,熊-预测置信度,熊猫-预测置信度,牛-预测置信度,牡蛎-预测置信度,犀牛-预测置信度,犀鸟-预测置信度,狐狸-预测置信度,狗-预测置信度,狮子-预测置信度,狼-预测置信度,猩猩-预测置信度,猪-预测置信度,猫-预测置信度,猫头鹰-预测置信度,獾-预测置信度,瓢虫-预测置信度,甲虫-预测置信度,章鱼-预测置信度,羊-预测置信度,羚羊-预测置信度,老虎-预测置信度,老鼠-预测置信度,考拉-预测置信度,苍蝇-预测置信度,蚊子-预测置信度,蚱蜢-预测置信度,蛇-预测置信度,蛾-预测置信度,蜂鸟-预测置信度,蜜蜂-预测置信度,蜥蜴-预测置信度,蜻蜓-预测置信度,蝙蝠-预测置信度,蝴蝶-预测置信度,蟑螂-预测置信度,蟹-预测置信度,袋熊-预测置信度,袋鼠-预测置信度,豪猪-预测置信度,豹-预测置信度,负鼠-预测置信度,野牛-预测置信度,野猪-预测置信度,金鱼-预测置信度,霍加皮-预测置信度,马-预测置信度,驯鹿-预测置信度,驴-预测置信度,鬣狗-预测置信度,鱿鱼-预测置信度,鲨鱼-预测置信度,鲸鱼-预测置信度,鸭-预测置信度,鸽子-预测置信度,鹅-预测置信度,鹈鹕-预测置信度,鹦鹉-预测置信度,鹬-预测置信度,鹰-预测置信度,鹿-预测置信度,麻雀-预测置信度,黑猩猩-预测置信度,鼠-预测置信度,龙虾-预测置信度
animals_split\val\乌鸦\197c1012ba.jpg,0,乌鸦,0.0,乌鸦,30.0,犀鸟,83.0,鹰,1.0,0.62409204,5.7089397e-05,3.960545e-06,0.000120704135,0.00026735035,4.8088168e-05,0.003775787,3.2715845e-05,0.0001308469,0.00022413113,0.00031740314,3.1896845e-05,2.4545932e-05,0.00045837654,4.1023577e-06,7.4497314e-07,0.0022511622,2.4311168e-05,0.00012820296,1.6939526e-05,9.259731e-05,1.2218188e-05,8.378044e-05,4.6549663e-05,0.018510764,0.00012013041,1.1128968e-05,6.0348157e-06,0.00010928916,2.8320523e-05,0.23795246,2.824139e-05,1.5818448e-05,1.9193754e-05,4.9480124e-05,3.4133861e-06,3.5064517e-05,7.714782e-06,0.0008596324,0.00022095405,1.2425921e-05,0.00029907684,9.03777e-05,1.16379815e-05,2.7986202e-05,3.208343e-07,0.00046145276,3.550198e-05,3.787974e-05,4.048034e-06,0.00018026917,2.1905036e-05,0.00032281163,0.00034645514,9.388768e-06,8.002555e-05,2.515618e-06,0.0005160616,1.1408714e-05,2.3156901e-05,0.00031806977,1.8346205e-05,2.1650618e-05,0.00019935908,1.7356324e-05,0.0016131332,2.2453492e-05,0.0017099238,1.0607919e-05,7.65946e-05,9.671559e-06,7.574188e-05,9.66078e-05,9.199529e-06,3.9278057e-06,3.307492e-05,0.000112370406,0.0071018357,0.029158922,0.0240693,0.004872751,0.0011937084,0.00043772126,0.029289432,0.0002210004,0.0055506774,0.0005904294,0.0004436836,4.6173645e-06
animals_split\val\乌鸦\1ecc081899.jpg,0,乌鸦,77.0,鸭,78.0,鸽子,0.0,乌鸦,1.0,0.09595812,5.485807e-07,1.5676331e-06,0.008891227,0.00023296935,0.00022330167,8.8512934e-05,7.505593e-05,0.009493664,2.6530959e-06,0.00027867252,3.8134285e-06,3.5977457e-05,0.0039805495,1.059108e-05,1.1506802e-06,0.005686251,9.95004e-05,0.0014068807,4.9363905e-07,0.00038437961,0.00028931632,1.4717473e-07,2.569793e-05,0.00015776216,0.011075468,0.00026201716,0.0026958387,5.507624e-07,1.9581825e-05,0.00026108627,1.4915604e-05,2.4455256e-05,8.480467e-05,0.0002417914,1.2974841e-05,4.5611415e-07,3.6055906e-05,0.00019145796,0.0005055766,5.997618e-05,4.85745e-05,3.212082e-05,0.004020302,1.195214e-05,8.838033e-07,2.7164668e-05,0.007629041,8.951266e-05,2.5827603e-07,1.8547896e-06,7.005729e-07,2.6947411e-05,0.0001463806,1.02547565e-05,2.6022108e-05,1.0928121e-05,0.004203841,5.8706577e-05,3.0039153e-06,5.8762314e-05,0.0013699095,7.076951e-05,7.509219e-06,9.339974e-06,0.001040729,0.0023152202,6.2646573e-06,5.5408077e-06,4.601207e-06,3.9553183e-06,1.20732775e-05,2.029956e-05,3.2691187e-05,1.31799e-06,0.00046058037,4.7371417e-05,0.5059642,0.23684824,0.04427672,0.0022551445,0.00035208167,0.00015695929,0.0028310164,0.00018244985,0.042417698,2.522623e-05,5.8904996e-05,1.5373966e-07
animals_split\val\乌鸦\2caed0387c.jpg,0,乌鸦,0.0,乌鸦,78.0,鸽子,6.0,啄木鸟,1.0,0.9935409,3.293732e-08,1.8917921e-08,6.788291e-06,5.365322e-06,7.234573e-08,0.0017078422,8.229031e-09,4.2520145e-07,3.3245027e-07,4.982699e-07,2.4349552e-07,9.72006e-08,3.8541526e-07,8.40899e-09,4.6820583e-09,5.3142327e-07,1.5325869e-08,1.0781168e-07,3.6809804e-09,2.0982898e-07,4.2481398e-07,2.2945894e-08,3.2303845e-07,1.6401502e-05,2.4524383e-07,8.0318195e-08,9.029677e-08,9.984401e-09,5.0554704e-08,0.0012637321,1.2006403e-07,7.839544e-07,2.4602517e-08,4.118889e-08,3.2706005e-08,1.4257026e-08,1.03831084e-07,3.269034e-05,1.1179684e-06,6.076895e-08,1.6009394e-06,1.2276413e-07,2.1570777e-07,1.7583105e-07,1.493362e-09,1.3311619e-07,3.7498785e-07,1.6805789e-06,4.1270103e-09,1.7037418e-07,5.522561e-09,5.373635e-07,2.0679352e-05,8.648911e-08,1.7629725e-06,2.0284985e-07,1.5269725e-05,1.467052e-06,2.4611964e-07,1.0855409e-07,1.902198e-08,3.3488437e-08,2.1838163e-07,5.3446946e-08,2.195541e-06,1.7422764e-07,3.4540557e-07,2.0762732e-08,1.6029583e-07,2.1958539e-07,1.6264188e-08,1.0221777e-08,5.011538e-08,1.321848e-08,7.951881e-09,6.0786596e-07,4.0666114e-06,0.002506436,2.8461836e-05,3.236827e-05,0.00020189308,1.9516895e-06,6.8449954e-05,2.714902e-07,0.0005240315,2.6782375e-06,5.9254674e-08,7.59576e-09
animals_split\val\乌鸦\376fae5ad1.jpg,0,乌鸦,0.0,乌鸦,78.0,鸽子,6.0,啄木鸟,1.0,0.9935422,2.438844e-07,4.7850147e-08,3.7393359e-06,6.5004433e-06,5.6247984e-07,0.0010748106,1.1989941e-07,1.688936e-06,1.9431561e-06,1.4323974e-06,1.9927106e-07,4.090766e-07,3.3567815e-06,8.45889e-08,7.2822934e-07,1.165607e-05,3.373571e-07,1.8595596e-06,1.12751366e-07,1.3329046e-06,1.211516e-05,1.3395278e-07,3.1107493e-07,2.2187646e-06,1.6804561e-06,9.645957e-08,4.408114e-07,6.6604876e-08,1.7565698e-07,0.0005380984,4.1699374e-07,2.7619387e-07,3.8814953e-08,1.2700968e-06,1.9156329e-07,3.7615074e-08,1.5602885e-07,0.00012678848,3.5348025e-06,9.9679774e-08,3.8661497e-06,6.625761e-07,4.8655988e-08,2.3965674e-07,2.9108731e-08,2.1752526e-06,1.2770051e-06,4.552914e-06,1.1397779e-07,3.477249e-07,8.156037e-09,2.239871e-07,1.0354317e-05,1.024135e-07,1.8564623e-06,4.6737176e-07,0.00012729938,1.652057e-06,6.914174e-07,2.7523362e-07,1.13382164e-07,1.7736386e-07,3.2542477e-05,4.6446758e-07,9.489097e-06,8.761182e-07,1.676045e-06,9.61154e-08,1.4036558e-06,1.4780499e-06,1.499846e-06,2.039842e-07,2.0737558e-07,1.4885822e-07,8.3938346e-07,1.1255144e-05,1.8594825e-05,0.0025784532,1.8611076e-05,4.295955e-05,1.0557129e-05,1.06321595e-05,0.0010665988,1.1799222e-06,0.0006836885,7.6174856e-06,5.213173e-07,2.7790225e-07
animals_split\val\乌鸦\495ee7079c.jpg,0,乌鸦,83.0,鹰,0.0,乌鸦,30.0,犀鸟,1.0,0.18843515,5.147259e-06,2.1537948e-08,1.8357188e-05,0.00019417655,2.416028e-05,0.0034161813,9.118671e-07,2.984805e-05,6.3142747e-06,1.6240861e-05,7.4811305e-06,2.6455637e-05,0.00038900308,1.5197744e-05,5.2793926e-08,1.372766e-05,7.640323e-08,8.800226e-06,4.486968e-06,5.670723e-06,2.7657675e-06,1.1204158e-05,9.096225e-06,0.00013803718,8.986509e-05,1.7871499e-06,1.5166866e-06,7.434926e-10,1.7090037e-05,0.032390535,5.6631948e-06,4.3500776e-07,1.720778e-06,1.4777801e-07,1.782549e-06,2.0392565e-07,3.715236e-06,0.00010183583,5.4238477e-05,3.1240372e-08,2.0872312e-06,9.738153e-07,5.4387254e-08,2.0793893e-06,4.811326e-08,5.741629e-06,6.937136e-06,2.3945906e-06,2.847458e-07,1.7609291e-07,2.8984354e-08,4.6256573e-06,0.00021908693,3.2366472e-06,0.00017403814,2.9642217e-07,1.6696678e-05,7.3607185e-07,8.593914e-07,3.966932e-08,4.675285e-08,5.3179433e-06,0.00024506546,1.0627898e-06,9.332979e-06,1.9463829e-05,4.606692e-06,4.4559136e-05,1.5287767e-05,9.932461e-06,2.4519213e-06,0.00010931747,3.2713817e-06,2.1513931e-06,5.808506e-06,0.00019613594,6.6201035e-05,0.00018550908,0.0006057041,0.0063642454,0.00018673188,4.524062e-06,0.7659334,8.273503e-07,8.859905e-06,7.9337355e-05,1.0769833e-06,2.6680604e-07
animals_split\val\乌鸦\5bd195cf29.jpg,0,乌鸦,0.0,乌鸦,76.0,鲸鱼,6.0,啄木鸟,1.0,0.999503,2.0218488e-08,1.0092704e-09,1.2271697e-06,1.2612381e-07,9.444349e-09,0.00011001088,2.45187e-08,6.719176e-07,5.0914127e-06,6.351203e-07,9.890087e-08,6.207217e-08,6.289368e-07,8.95555e-10,1.2536161e-09,6.216471e-06,1.5856641e-07,3.3493012e-07,2.6334381e-09,4.76209e-06,6.170606e-06,1.7547668e-09,1.1872581e-08,1.5010154e-06,6.53775e-07,3.180669e-08,7.2606866e-07,7.2583797e-09,9.8867304e-08,5.2926466e-06,7.03284e-08,2.4751698e-09,3.176454e-09,6.2739235e-07,1.4968454e-10,4.0721337e-09,5.2563713e-09,1.4825896e-07,8.242959e-06,1.6864142e-08,2.8503368e-06,1.7990373e-09,7.0013606e-08,4.2913058e-08,5.9569194e-09,1.1598709e-07,2.1484817e-08,5.9383325e-07,7.5612633e-10,3.027915e-08,1.0214849e-09,1.1899764e-08,1.3082072e-07,2.6948154e-08,5.909742e-08,2.713176e-08,8.955197e-07,2.4088305e-08,4.450771e-07,1.550998e-08,1.5073011e-08,1.3817592e-07,4.5066938e-07,2.8082855e-08,9.527114e-07,3.5885685e-06,2.4141661e-06,2.3339337e-09,2.536621e-07,2.6353754e-07,2.9422515e-07,5.0943413e-08,1.309388e-07,3.7082504e-09,7.5767765e-08,0.00017541688,2.5328948e-06,7.2288494e-05,3.379577e-05,3.3080573e-06,2.110831e-07,3.281064e-05,3.7757625e-06,1.8313719e-07,4.787134e-06,7.19019e-08,6.26904e-08,1.4383207e-08
animals_split\val\乌鸦\6d60806c01.jpg,0,乌鸦,0.0,乌鸦,78.0,鸽子,83.0,鹰,1.0,0.9638132,6.007103e-06,9.5337947e-07,7.231284e-05,0.00020722827,3.4233317e-06,0.00046755114,2.1471587e-06,9.593302e-06,9.500382e-06,2.0839068e-05,2.7425795e-05,2.27428e-06,2.9508645e-05,9.848351e-07,1.3738847e-07,0.00023637702,1.9750883e-06,2.4180432e-05,1.7931039e-07,1.3860912e-05,0.00055728346,1.8679611e-07,1.8512491e-06,0.00029962836,6.443796e-06,4.5133604e-07,7.6239053e-06,7.4674915e-07,3.7619752e-06,0.00032642647,8.6180614e-07,1.4680922e-05,2.0755006e-06,8.854974e-06,2.432914e-07,5.1930425e-07,3.8467097e-06,0.00050419447,2.4871199e-05,7.104763e-08,3.5314947e-06,8.4460873e-07,5.050554e-06,1.3736783e-06,1.9726214e-07,1.6769465e-05,1.8127989e-06,2.2658682e-05,1.9724108e-07,4.804587e-06,5.90449e-07,8.6431487e-07,1.843143e-05,1.1272017e-06,1.7587796e-05,1.1545886e-06,5.722776e-06,2.2526465e-06,1.883913e-06,2.51821e-06,6.4198616e-06,3.2408177e-06,3.050304e-05,1.9630625e-06,1.6393846e-05,7.2345565e-06,5.501525e-06,5.988122e-07,2.4935712e-06,1.0573989e-05,1.8668552e-05,1.34143565e-05,8.051604e-06,1.0376112e-06,7.543914e-06,0.00012385924,0.0001521491,0.027667986,4.6759797e-05,0.0004160287,4.6080928e-05,0.0002953346,0.003416058,2.325763e-06,0.0008491093,2.1822085e-05,4.5260003e-06,7.627057e-07
animals_split\val\乌鸦\6dab0b74ff.jpg,0,乌鸦,0.0,乌鸦,78.0,鸽子,76.0,鲸鱼,1.0,0.9547438,1.4078601e-05,3.0631704e-06,0.001548664,0.00010093667,1.3649379e-05,0.0012071145,3.4038908e-06,2.7858543e-05,9.008247e-05,2.4398363e-05,2.060301e-05,2.0059392e-06,6.4185995e-05,3.569575e-06,1.5880579e-06,0.00017567727,2.251411e-05,1.3864167e-05,3.0510591e-06,0.0006184594,0.00024112333,5.0880603e-06,9.035069e-06,5.9672988e-05,3.6390567e-05,3.1838343e-05,6.0507933e-05,1.3456405e-06,2.4899848e-05,0.0017416076,4.177421e-06,3.5071444e-05,4.640293e-06,8.209564e-06,3.8500042e-07,4.804964e-06,8.914984e-06,1.4665031e-05,4.8930862e-05,6.0632123e-05,0.00033183812,3.4732516e-06,4.180769e-06,6.6491953e-06,8.174622e-07,8.002402e-05,9.218754e-06,0.00023721713,4.3382825e-06,7.000045e-05,3.032812e-06,1.0519838e-05,1.1980303e-05,6.6202665e-06,6.5459004e-05,1.4625558e-05,9.4501636e-05,7.677534e-06,0.00033988358,7.990537e-05,8.0937025e-06,1.8839575e-05,2.4157063e-05,6.905025e-07,0.00015809573,5.037839e-05,2.6189506e-05,5.613181e-06,1.1707758e-05,3.3690332e-05,1.7882257e-05,1.7594308e-05,5.159656e-06,3.782065e-05,7.1058865e-05,0.0018805749,0.00074790936,0.029542979,0.00032809502,0.00116793,0.00091377547,0.00016717646,0.0015254993,3.3593504e-05,0.00058691535,3.748262e-05,6.533165e-05,2.9304518e-05
animals_split\val\乌鸦\77fefab966.jpg,0,乌鸦,0.0,乌鸦,78.0,鸽子,85.0,麻雀,1.0,0.98404574,3.142633e-08,4.4675197e-08,2.8343688e-06,1.0208453e-05,2.306536e-07,0.0009936499,4.5155736e-07,1.1942439e-07,9.441235e-07,4.1139767e-08,5.3086336e-07,3.3439118e-08,1.6587954e-06,3.140506e-08,1.0487299e-09,1.4732072e-07,3.426686e-08,1.6122154e-06,2.9441825e-09,3.670512e-07,6.0173755e-07,1.0027767e-08,5.7943822e-08,6.515067e-06,4.0274625e-08,3.874998e-08,1.04833894e-07,1.9127309e-09,2.6134373e-08,7.5048956e-05,1.0713002e-06,5.3395956e-07,2.846914e-08,5.50445e-07,1.5007648e-08,2.7624518e-08,3.9146548e-07,3.7232585e-05,3.214371e-06,2.665201e-08,5.660515e-07,4.4615334e-08,4.0677616e-08,6.602267e-07,5.291958e-09,3.5263037e-07,1.4812231e-07,1.3526267e-06,4.7684092e-09,7.7083236e-08,1.4568041e-08,3.8798348e-08,5.993973e-05,7.2031284e-08,2.4490287e-06,6.1325704e-07,4.175548e-06,3.5056286e-07,1.45343e-07,9.065417e-09,3.3464133e-08,4.61619e-07,3.3183284e-07,1.55943e-08,7.68896e-07,1.9676076e-08,1.2565422e-06,1.5304085e-08,7.380095e-08,3.4402768e-07,2.0742279e-08,4.5662645e-08,3.2061033e-07,2.8536498e-08,9.010392e-09,1.9830863e-07,3.3700971e-06,0.012124822,7.812919e-05,3.5118024e-05,0.00010074114,4.1663357e-06,3.4204295e-05,4.9533463e-07,0.0023593546,1.5000933e-07,2.1052304e-07,3.696095e-09
animals_split\val\乌鸦\8b94b5d529.jpg,0,乌鸦,0.0,乌鸦,78.0,鸽子,30.0,犀鸟,1.0,0.9954913,7.821352e-08,2.572552e-07,9.154859e-07,1.3555687e-05,1.3451977e-07,0.000111607165,2.3834266e-08,7.482731e-07,1.12625536e-07,1.5625655e-07,4.3553788e-07,2.9926586e-08,8.8016395e-07,2.2410257e-08,1.1694762e-09,2.4398921e-06,2.2684081e-07,2.4827598e-06,5.514963e-09,2.847903e-07,2.6146344e-07,3.381851e-08,3.5908545e-08,3.220924e-05,1.8340808e-07,1.5304134e-07,1.4470481e-07,2.1578168e-09,1.836483e-08,0.0011031206,1.073725e-06,5.125634e-07,1.7454467e-07,1.6294901e-08,2.4164759e-08,1.214881e-08,2.7023307e-07,4.298916e-06,8.776667e-06,1.1218548e-07,9.316132e-07,5.6826114e-08,8.292294e-09,2.6662516e-07,5.835994e-09,9.946831e-06,5.510434e-08,1.0543088e-06,5.2959552e-09,1.0600349e-07,9.355769e-09,5.6313812e-08,2.1147548e-06,6.4461824e-07,2.0478071e-06,2.00661e-08,3.9762226e-06,4.0582154e-07,7.485851e-07,2.705886e-08,1.8287642e-07,3.4986122e-08,1.2799094e-06,1.8339836e-08,5.4917946e-06,5.1289743e-07,2.2487159e-06,1.72393e-08,4.2766096e-08,5.8974397e-08,9.220687e-09,1.5316786e-08,2.394033e-08,4.796466e-09,2.3935935e-09,7.654772e-08,2.6948533e-06,0.0020953594,3.0840467e-05,1.3137169e-05,6.0665557e-06,7.504249e-07,0.0001279541,7.693017e-08,0.0009101709,2.6212745e-06,7.601372e-07,8.157819e-09
