batch,epoch,train_accuracy,train_loss
0.0,0.0,0.03125,4.751049
1.0,1.0,0.0,4.5789304
2.0,1.0,0.03125,4.8243513
3.0,1.0,0.0,4.678605
4.0,1.0,0.03125,4.7605863
5.0,1.0,0.0,4.469112
6.0,1.0,0.03125,5.0236254
7.0,1.0,0.03125,4.829924
8.0,1.0,0.03125,4.779663
9.0,1.0,0.03125,4.7458744
10.0,1.0,0.03125,4.9648514
11.0,1.0,0.0625,4.2952285
12.0,1.0,0.0625,4.690567
13.0,1.0,0.0625,4.446164
14.0,1.0,0.09375,4.8702264
15.0,1.0,0.0625,4.2141094
16.0,1.0,0.15625,4.1132846
17.0,1.0,0.0625,4.246128
18.0,1.0,0.03125,4.3139844
19.0,1.0,0.125,4.1199455
20.0,1.0,0.125,4.1369905
21.0,1.0,0.09375,4.114977
22.0,1.0,0.125,3.8174245
23.0,1.0,0.0625,4.0708256
24.0,1.0,0.09375,3.8322444
25.0,1.0,0.09375,4.3027506
26.0,1.0,0.03125,4.263279
27.0,1.0,0.09375,3.952231
28.0,1.0,0.125,4.0154104
29.0,1.0,0.1875,3.748362
30.0,1.0,0.15625,3.8540914
31.0,1.0,0.125,3.9466403
32.0,1.0,0.0625,3.794201
33.0,1.0,0.125,3.8548257
34.0,1.0,0.25,3.6434412
35.0,1.0,0.25,3.6608489
36.0,1.0,0.3125,3.5924952
37.0,1.0,0.21875,3.7289462
38.0,1.0,0.09375,3.712209
39.0,1.0,0.1875,3.6492891
40.0,1.0,0.25,3.5489125
41.0,1.0,0.25,3.5406806
42.0,1.0,0.21875,3.4199367
43.0,1.0,0.09375,3.8506556
44.0,1.0,0.3125,3.4130874
45.0,1.0,0.125,3.6886742
46.0,1.0,0.15625,3.6353188
47.0,1.0,0.1875,3.3031614
48.0,1.0,0.3125,3.2431076
49.0,1.0,0.375,2.9657125
50.0,1.0,0.25,3.4103773
51.0,1.0,0.1875,3.3525002
52.0,1.0,0.28125,3.2308388
53.0,1.0,0.34375,2.963227
54.0,1.0,0.28125,3.0588994
55.0,1.0,0.5,3.0135067
56.0,1.0,0.21875,3.3435621
57.0,1.0,0.3125,3.0864658
58.0,1.0,0.25,3.415891
59.0,1.0,0.34375,3.1669693
60.0,1.0,0.28125,3.124573
61.0,1.0,0.4375,2.8982158
62.0,1.0,0.40625,3.0282307
63.0,1.0,0.4375,3.0732515
64.0,1.0,0.4375,2.9464984
65.0,1.0,0.28125,2.9832428
66.0,1.0,0.46875,2.7260013
67.0,1.0,0.40625,2.9774067
68.0,1.0,0.3125,3.0617218
69.0,1.0,0.46875,2.7587953
70.0,1.0,0.34375,2.6649005
71.0,1.0,0.3125,3.0123706
72.0,1.0,0.5,2.385256
73.0,1.0,0.28125,2.8534784
74.0,1.0,0.375,2.7878354
75.0,1.0,0.34375,2.9583929
76.0,1.0,0.34375,2.797212
77.0,1.0,0.40625,2.8625636
78.0,1.0,0.5,2.7482252
79.0,1.0,0.4375,2.887385
80.0,1.0,0.375,2.744472
